Počet vstupních dat: 78400
Počet vstupních trénovacích dat: 78400
Počet vstupních predikovanýc dat: 1932

Atributy:
Date_time - standardized date and time of sighting
city - location of UFO sighting
state/province - the US state or Canadian province, appears blank for other locations
country - Country of UFO sighting
UFO_shape - a one word description of the "spacecraft"
length_of_encounter_seconds - standardized to seconds, length of the observation of the UFO
described_duration _of_encounter - raw description of the length of the encounter(shows uncertainty to previous column)
description - text description of the UFO encounter.Warning column is messy, with some curation it could lend itself to some natural language processing and await sw.WriteLineAsync analysis.
date_documented - when was the UFO sighting reported
latitude - latitude
longitude - longitude

Klasifikace pomoci Naive-Bayes (UFO_shape -> length_of_encounter_seconds + hour)
;class='cylinder';class='light';class='circle';class='sphere';class='disk';class='fireball';class='unknown';class='oval';class='other';class='cigar';class='rectangle';class='chevron';class='triangle';class='formation';class='delta';class='changing';class='egg';class='diamond';class='flash';class='teardrop';class='cone';class='cross';class='pyramid';class='round';class='crescent';class='flare';class='hexagon';class='dome';class='changed'
length_of_encounter_seconds='3900';0,00;0;0,00;0,00;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='145';0;0;0,00;0;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='122';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='4560';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='250';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1227';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1398';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='71';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='603';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3700';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='5.5';0;0;0;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='4860';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='56';0;0;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='37';0;0;0;0,00;0;0;0;0;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='5100';0;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='345.5';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1180';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1184';0;0;0;0;0;0;0;0;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3060';0;0,00;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='42000';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0
length_of_encounter_seconds='995';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1049';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1185';0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='108000';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='300.13';0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='64800';0;0;0;0;0;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='299';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='33';0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='5263200';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='634';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1265';0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='7894800';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='60600';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='50400';0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='555';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='212';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='994';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='83';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='4260';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1080000';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='87';0;0,00;0;0,00;0;0;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='106';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='120.3';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='8280';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='550';0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.33';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='980';0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1081';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1186';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1050';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='60.14';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='11700';0;0;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='60.4';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='199';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1281';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1420';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='120.15';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1203';0;0,00;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='658';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1384';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='75.6';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1290';0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='5520';0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2280';0,00;0;0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='82';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='605';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='771';0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3480';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='990';0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1395';0;0,00;0;0;0;0;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='21.45';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='725';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1170';0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3.4';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3120';0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='170';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='6.5';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='60.1';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='60.42';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='669';0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='688';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='46';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='695';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='721';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='64';0;0;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='425';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1416';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1196';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1391';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='162000';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='6660';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='8580';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='74';0,00;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3180';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='60.6';0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='492';0;0;0;0;0;0;0;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='4.5';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='265';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0
length_of_encounter_seconds='28';0,00;0;0;0;0;0,00;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='6900';0;0,00;0;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='108';0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1408';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2496';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1340';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='989';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='68';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='95';0;0,00;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='60.2';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.45';0;0;0;0;0;0;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='390';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='121';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1401';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1266';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1269';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3630';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='25248000';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2530';0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3720';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1815';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='500';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='82800000';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='103';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1438';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1330';0;0;0;0;0;0;0;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1244';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='195';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='705';0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='9468000';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1250';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='60.5';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1309';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1100';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='7440';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='10500';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='99';0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='639';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='49';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1365';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='46800';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='57600';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='278';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='479';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='399';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1345';0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1383';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='125';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='160';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='18300';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='304';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='25800';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1310';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='115';0;0;0,00;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1275';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='282';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='39600';0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.38';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='276';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='96';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.5`';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='181800';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='227';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='182';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1217';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='7230';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2419200';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.23';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='496';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='235';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='640';0;0;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='5280';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='253800';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='6420';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1110';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='259';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2760';0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='310';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='8700';0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='322';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
