Počet vstupních dat: 78400
Počet vstupních trénovacích dat: 78400
Počet vstupních predikovanýc dat: 1932

Atributy:
Date_time - standardized date and time of sighting
city - location of UFO sighting
state/province - the US state or Canadian province, appears blank for other locations
country - Country of UFO sighting
UFO_shape - a one word description of the "spacecraft"
length_of_encounter_seconds - standardized to seconds, length of the observation of the UFO
described_duration _of_encounter - raw description of the length of the encounter(shows uncertainty to previous column)
description - text description of the UFO encounter.Warning column is messy, with some curation it could lend itself to some natural language processing and await sw.WriteLineAsync analysis.
date_documented - when was the UFO sighting reported
latitude - latitude
longitude - longitude

Klasifikace pomoci Naive-Bayes (UFO_shape -> length_of_encounter_seconds + hour)
;class='cylinder';class='light';class='circle';class='sphere';class='disk';class='fireball';class='unknown';class='oval';class='other';class='cigar';class='rectangle';class='chevron';class='triangle';class='formation';class='delta';class='changing';class='egg';class='diamond';class='flash';class='teardrop';class='cone';class='cross';class='pyramid';class='round';class='crescent';class='flare';class='hexagon';class='dome';class='changed'
length_of_encounter_seconds='12';0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,01;0,00;0,00;0,01;0,01;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='75';0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0;0,00;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0
length_of_encounter_seconds='150';0;0,00;0,00;0,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='14';0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='9';0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0;0,00;0,00;0;0;0;0;0,00;0;0,00;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='29';0;0,00;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1260';0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0,00;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='11';0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;0,00;0,00;0;0,00;0;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='7620';0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2100';0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;0,00;0,00;0;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='1080';0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='22';0;0;0,00;0;0,00;0,00;0,00;0;0,00;0;0,00;0;0;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1620';0;0,00;0,00;0,00;0,00;0;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='65';0;0,00;0;0,00;0;0;0,00;0;0,00;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3300';0;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;0;0;0;0,00;0;0;0,00;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='172800';0;0,00;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0;0,00;0;0;0,00;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='50';0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0;0;0,00;0,00;0,01;0;0;0;0;0;0;0;0
length_of_encounter_seconds='17';0,00;0,00;0;0,00;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='259200';0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;0;0;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='660';0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;0,00;0;0;0;0;0;0,00;0;0,00;0;0,00;0,01;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2640';0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='55';0;0,00;0,00;0,00;0;0,00;0,00;0;0,00;0;0;0;0,00;0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1350';0;0,00;0,00;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='4200';0,00;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='16';0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00;0;0,00;0;0,00;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1.5';0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0,00;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.1';0;0;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='21600';0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00;0;0,00;0;0;0;0;0;0;0;0
length_of_encounter_seconds='36000';0;0,00;0,00;0;0,00;0;0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='315';0;0;0;0;0;0;0,00;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='165';0;0;0;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.05';0;0,00;0,00;0;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1320';0;0,00;0,00;0,00;0;0,00;0,00;0;0;0;0,00;0;0,00;0,00;0;0,00;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1380';0;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;0;0;0,00;0,00;0;0,00;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='0.5';0;0,00;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0;0,00;0;0;0;0;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1.2';0;0,00;0;0,00;0;0,00;0,00;0,00;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='6300';0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;0,00;0,00;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1860';0;0;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='120.1';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1396';0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='718';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
